Item Name,Category,Quantity,Expiry Date,Supplier,Supplier Cost
Fresh Whole Milk,Dairy,45,2024-12-31,Dairy Farm Inc,2.75
Organic Bananas,Fruits,120,2024-12-28,Green Market,1.50
Whole Wheat Bread,Grains,25,2024-12-20,Bakery Fresh,3.25
Chicken Breast - Boneless,Meat,35,2025-01-03,Fresh Meat Co,9.00
Red Delicious Apples,Fruits,90,2025-01-08,Apple Orchard,2.25
Fresh Spinach,Vegetables,60,2024-12-22,Veggie Direct,1.75
Greek Yogurt,Dairy,40,2024-12-30,Yogurt Makers,3.50
Orange Juice - 1L,Beverages,30,2025-01-15,Drink Corp,4.00
Granola Bars,Snacks,50,2025-02-10,Snack Co,2.50
Brown Rice - 1kg,Grains,20,2025-03-01,Grain Suppliers,5.00

